date,action,drift_index,feature_score,prediction_score,performance_score,top_drift_feature,cooldown_blocked,retrained_today,ensemble_size
2017-12-20,moderate,2.7558010890118263,6.764051960379934,0.004689961651497638,0.16257772121467795,Ret_Vol_20,0,1,1
2017-12-21,moderate,2.702415977862112,6.755025282388221,0.0013528830227441664,0.0,Ret_Vol_20,1,0,1
2017-12-22,moderate,2.7278601635279767,6.746730479005377,0.030846828163114674,0.06637974492297039,Ret_Vol_20,1,0,1
2017-12-26,moderate,2.748811010827277,6.739149672472022,0.028431955363311112,0.14873851743158306,Ret_Vol_20,0,1,1
2017-12-27,moderate,2.6960222278405266,6.739149672472022,0.001207862839058618,0.0,Ret_Vol_20,1,0,1
2017-12-28,moderate,2.774915314312032,6.739149672472022,0.002560745861802787,0.2616240718822739,Ret_Vol_20,1,0,1
2017-12-29,moderate,2.793925488723324,6.739149672472022,0.002560745861802787,0.3249913199199128,Ret_Vol_20,1,0,1
2018-01-02,moderate,2.7520711139715983,6.732267103459705,0.0035519598916868844,0.19366228206736746,Ret_Vol_20,0,1,1
2018-01-09,moderate,2.952684877417878,6.720543036423111,0.009580565222243872,0.8719783109398691,Ret_Vol_20,0,1,1
2018-01-10,moderate,2.6917552319943496,6.720543036423111,0.011793391417017867,0.0,Ret_Vol_20,1,0,1
2018-01-11,moderate,2.720503799553307,6.748994602410397,0.025702142157514492,0.04398438647297864,Ret_Vol_20,1,0,1
2018-01-12,moderate,2.7925698500400467,6.78233498262178,0.027878603530498744,0.2375742531072823,Ret_Vol_20,1,0,1
2018-01-16,moderate,2.865620595698365,6.822155127487505,0.02762669623254086,0.4282351194453361,Ret_Vol_20,0,1,1
2018-01-17,moderate,2.735328666517867,6.837968528814548,0.0004708499734921395,0.0,Ret_Vol_20,1,0,1
2018-01-18,moderate,2.762504275804214,6.861599225654794,0.0006571006461273581,0.0588915178281918,Ret_Vol_20,1,0,1
2018-01-19,moderate,2.807593335563874,6.88840402969749,0.0010670925866604502,0.1730386530295993,Ret_Vol_20,1,0,1
2018-01-22,moderate,2.8687313901280556,6.919040085668454,0.0011280123479135615,0.33592317385433135,Ret_Vol_20,0,1,1
2018-01-23,moderate,2.7839494495610246,6.959554501956218,0.0004254959284583098,0.0,Ret_Vol_20,1,0,1
2018-01-24,moderate,2.8657942463732415,7.001408002939373,0.004394619669525129,0.21304219765545002,Ret_Vol_20,1,0,1
2018-01-25,moderate,2.904181945913954,7.05255067759445,0.00535062998332232,0.27185495293725787,Ret_Vol_20,1,0,1
2018-01-31,moderate,2.6438633398658706,6.239713113238224,0.002935732961807749,0.4903245822734631,Ret_Vol_20,0,1,1
2018-02-01,moderate,2.827469688378193,7.068294766700808,0.0005059389928987745,0.0,Ret_Vol_20,1,0,1
2018-03-02,moderate,2.6000291293642377,4.905785655085789,0.011252541798756108,2.1144636826343173,Ret_Vol_20,0,1,1
2018-06-29,moderate,2.596686678703985,4.116303503033239,0.13775996914350536,3.029457622492125,Ret_Vol_20,0,1,1
2019-01-14,moderate,2.672352874231081,5.434326039159304,0.06582589529555494,1.5962489665956419,Ret_Vol_20,0,1,1
2019-09-24,moderate,2.874617164666402,2.7597666049713916,0.16623705901533023,5.7361313499108215,Ret_Vol_20,0,1,1
2019-11-15,moderate,2.693766884809182,0.39442220554216595,0.10373477944861284,8.349591895859106,Ret_Vol_20,0,1,1
2020-06-09,moderate,2.952096150217188,5.813659044562467,0.07319622051948305,2.015578887454522,Ret_Vol_20,0,1,1
2020-06-22,moderate,2.5967049639851334,6.180564918722036,0.07922157393488657,0.33570841438617716,Ret_Vol_20,0,1,1
2020-06-24,moderate,2.9220083350958013,7.1875495380163805,0.0008617554938487905,0.15576664413698044,Ret_Vol_20,1,0,1
2020-06-25,moderate,2.990802136282778,7.293791483367761,0.0030746350576522567,0.2412105080612601,Ret_Vol_20,1,0,1
2020-06-26,high,3.3480220096157445,8.259671565685132,0.0032937543928477798,0.14388419007945885,Ret_Vol_20,1,0,1
2020-06-29,high,3.358608821448628,8.284102410133896,0.003279951697986952,0.146612906285579,Ret_Vol_20,0,1,1
2020-06-30,high,3.3269490344764217,8.18992885535671,0.16992497444579108,0.0,Ret_Vol_20,1,0,1
2020-07-01,high,3.4052347183924865,8.217632307472147,0.16890461083963276,0.22503470717245921,Ret_Vol_20,1,0,1
2020-07-02,high,3.4363071924388704,8.247494536803814,0.15837153225285397,0.2993263934716285,Ret_Vol_20,1,0,1
2020-07-06,high,3.535212628240027,8.279862462087156,0.1498275513564596,0.5943979266607557,Ret_Vol_20,0,1,1
2020-07-07,high,3.2827375252195505,8.206500017294754,0.00045839433882955164,0.0,Ret_Vol_20,1,0,1
2020-07-08,high,3.4055113782244715,8.244894021430865,0.0009495218677249471,0.3575630436393602,Ret_Vol_20,1,0,1
2020-07-09,high,3.399717772419488,8.287933092553933,0.0013204878191190863,0.2804946301739279,Ret_Vol_20,1,0,1
2020-07-10,high,3.420469742845586,8.298525880779815,0.00205146247246707,0.3348131726397319,Ret_Vol_20,1,0,1
2020-07-13,high,3.38991756435586,8.321601399776622,0.0022321483096571317,0.20202453317437946,Ret_Vol_20,0,1,1
2020-07-14,high,3.3549695233672487,8.384749486478587,0.0035657625860476437,0.0,Ret_Vol_20,1,0,1
2020-07-15,high,3.4593286761752386,8.457034183790032,0.004515284453772615,0.250534724410313,Ret_Vol_20,1,0,1
2020-07-16,high,3.908434039070086,9.398395497041426,0.005211170087713993,0.49170829742400457,Ret_Vol_20,1,0,1
2020-07-17,high,3.9389919769751556,9.398395497041426,0.005211170087713966,0.5935680904409035,Ret_Vol_20,1,0,1
2020-07-20,high,3.905612758991281,9.39052463733077,0.006160691955438938,0.49184898824113643,Ret_Vol_20,0,1,1
2020-07-21,high,3.756265730134099,9.39052463733077,0.00018625067263515005,0.0,Ret_Vol_20,1,0,1
2020-07-22,high,3.7952637969252008,9.38588809354655,0.00039500728011506277,0.13596685774182093,Ret_Vol_20,1,0,1
2020-07-23,high,3.8653047352241225,9.384356372577953,0.00039500728011506277,0.3714789466963556,Ret_Vol_20,1,0,1
2020-07-24,high,3.886332366201715,9.35977425614684,0.06534771871140917,0.4093944937651871,Ret_Vol_20,1,0,1
2020-07-27,high,3.4672806591156933,8.386345338135623,0.06553710778858318,0.31027130508289724,Ret_Vol_20,0,1,1
2020-07-28,high,3.3453727967168767,8.363431991792192,0.0,0.0,Ret_Vol_20,1,0,1
2020-07-29,high,3.3395049771420533,8.256559810986925,0.00023166644596310255,0.12270517604498055,Ret_Vol_20,1,0,1
2020-07-30,high,3.3012573734496655,8.18386952280459,0.0002787835123554093,0.09208643091374152,Ret_Vol_20,1,0,1
2020-07-31,high,3.277652273934823,8.12652573657559,0.0012370086200642742,0.08890292239522363,Ret_Vol_20,1,0,1
2020-08-03,high,3.2550392066813547,8.07833109460032,0.001165634044306572,0.07785692875978062,Ret_Vol_20,0,1,1
2020-08-04,moderate,2.8453022892087905,7.113255723021975,0.0,0.0,Ret_Vol_20,1,0,1
2020-08-05,moderate,2.8519789645777,7.007831448579235,0.006931471804599297,0.15588981201542085,Ret_Vol_20,1,0,1
2020-08-06,moderate,2.819004324574554,6.9363739454964115,0.007198288831806836,0.14098419908815552,Ret_Vol_20,1,0,1
2020-08-07,moderate,2.8092604132571077,6.880183210176852,0.007980028848892033,0.182643735105665,Ret_Vol_20,1,0,1
2020-08-10,moderate,2.8067229978838886,6.83310463728741,0.012430770268952184,0.23250637296079651,Ret_Vol_20,0,1,1
2020-08-11,moderate,2.7169984100580105,6.792049023936142,0.0005960016118434068,0.0,Ret_Vol_20,1,0,1
2020-08-12,moderate,2.703882100492061,6.751402062285561,0.0009695649340285542,0.010101353658759749,Ret_Vol_20,1,0,1
2020-08-13,moderate,2.72979658156529,6.715414062632588,0.004326570912596294,0.1411099507949195,Ret_Vol_20,1,0,1
2020-08-14,moderate,2.730130862708627,6.683097777273953,0.004573741346484602,0.1850654313170017,Ret_Vol_20,1,0,1
2020-08-17,moderate,2.7054589534936984,6.653793044327183,0.0053232098467135384,0.14114924269603724,Ret_Vol_20,0,1,1
2020-08-18,moderate,2.6510941453489316,6.627033573992681,0.0009357191728641607,0.0,Ret_Vol_20,1,0,1
2020-08-19,moderate,2.7085813675277106,6.602476039132906,0.001514876186013928,0.22378829672914569,Ret_Vol_20,1,0,1
2020-09-15,moderate,2.595670226689415,4.009167037522897,0.09276914279149981,3.213908896142687,Ret_Vol_20,0,1,1
